YEAR,NB_BAT,NOMBRE_LOG,NB_BAT_TOTAL,NB_LOG_TOTAL
1850,1583,13397,1583,13397
1900,33,170,1616,13567
1915,3459,16028,5075,29595
1919,1136,5537,6211,35132
1940,2,44,6213,35176
1945,1098,3926,7311,39102
1948,3986,15008,11297,54110
1949,596,3181,11893,57291
1950,1,4,11894,57295
1967,3419,19726,15313,77021
1970,1434,11071,16747,88092
1974,1482,13051,18229,101143
1981,881,7336,19110,108479
1985,1,23,19111,108502
1987,1,1,19112,108503
1989,1032,6364,20144,114867
1990,943,12292,21087,127159
1991,41,397,21128,127556
1992,51,440,21179,127996
1993,46,400,21225,128396
1994,60,801,21285,129197
1995,62,835,21347,130032
1996,39,528,21386,130560
1997,60,831,21446,131391
1998,188,2480,21634,133871
1999,136,1162,21770,135033
2000,76,827,21846,135860
2001,35,373,21881,136233
2002,31,323,21912,136556
2003,38,297,21950,136853
2004,48,448,21998,137301
2005,375,5933,22373,143234
2006,179,1032,22552,144266
2007,112,977,22664,145243
2008,107,1083,22771,146326
2009,125,845,22896,147171
2010,168,1436,23064,148607
2011,162,1730,23226,150337
2012,223,2077,23449,152414
2013,112,1893,23561,154307
2014,62,1324,23623,155631
2015,327,3991,23950,159622
2016,88,1177,24038,160799
2017,37,858,24075,161657
2018,1,43,24076,161700
